metric,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.39,11.61,15.8,25.93,47.97,122.63,633.75
roce_pct,3.49,10.43,18.91,33.27,118.21,180.64,781.7
net_profit_margin_pct,4.62,7.24,14.02,20.35,29.24,19.94,45.2
operating_profit_margin_pct,9.84,16.01,25.83,40.15,84.04,34.8,27.25
debt_to_equity,0.01,0.06,0.44,1.64,6.59,1.79,3.08
sales_cagr_pct,-2.19,2.94,12.57,23.98,31.57,59.67,418.51
profit_cagr_pct,-10.16,4.5,24.34,37.4,92.84,67.86,631.9
eps_cagr_pct,-13.04,0.77,22.63,36.98,92.86,16.34,352.84
free_cash_flow_cr,-14435.1,-1290.0,1123.5,8348.5,20412.2,915.22,23129.88
